PERMNO,HCOMNAM,HTSYMBOL,HNAICS
12047,E G A EMERGING GLOBAL SHARES TR,INXX,525990
12049,GOLD RESOURCE CORP,GORO,212221
12051,INTRALINKS HOLDINGS INC,IL,541512
12052,GENERAL DYNAMICS CORP,GD,336411
12054,MARKET VECTORS E T F TRUST,SCIF,525990
12056,NEW ENERGY SYSTEMS GROUP,NEWN,335912
12057,RARE ELEMENT RESOURCES LTD,REE,213114
12059,SCHWAB STRATEGIC TRUST,SCHR,525990
12060,GENERAL ELECTRIC CO,GE,333611
12062,LABORATORY CORP AMERICA HLDGS,LH,621511
12063,PONIARD PHARMACEUTICALS INC,PARD,325413
12064,SCHWAB STRATEGIC TRUST,SCHO,525990
12065,SCHWAB STRATEGIC TRUST,SCHP,525990
12066,UNITED STATES COMMODITY IND FUND,USCI,523130
12067,NOVELLUS SYSTEMS INC,NVLS,333249
12068,OLD NATIONAL BANCORP,ONB,522110
12070,WHITESTONE REIT,WSR,531120
12072,PARKWAY PROPERTIES INC,PKY,531120
12073,PEOPLES UNITED FINANCIAL INC,PBCT,522120
12074,PRIDE INTERNATIONAL INC DEL,PDE,213112
12075,WISDOMTREE TRUST,ELD,525990
12076,SIGNET JEWELERS LTD,SIG,448310
12077,D MEDICAL INDUSTRIES LTD,DMED,541710
12078,ELECTROMED INC,ELMD,541711
12079,GENERAL MOTORS CORP,GM,336111
12080,GORDMANS STORES INC,GMAN,452110
12081,MEDIAMIND TECHNOLOGIES INC,MDMD,511210
12082,MAKEMYTRIP LIMITED,MMYT,561520
12084,N X P SEMICONDUCTORS N V,NXPI,334413
12085,NUPATHE INC,PATH,541710
12088,PARK STERLING BANK NEW,PSTB,522110
12089,REALPAGE INC,RP,511210
12090,TRIUS THERAPEUTICS INC,TSRX,541710
12093,CORESITE REALTY CORP,COR,531130
12097,COUNTRY STYLE CKG RST CHN CO LTD,CCSC,722511
12098,E G A EMERGING GLOBAL SHARES TR,ECON,525990
12101,ELSTER GROUP S E,ELT,334514
12103,FIRST TRUST HIGH INC LNG SHRT FD,FSD,525990
12104,HELIX BIOPHARMA CORP,HBP,325412
12105,ISHARES TRUST,ENZL,525990
12106,W S B HOLDINGS INC,WSB,522120
12109,ISHARES TRUST,EWZS,525990
